strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,94,121.3408,0,-0.0921,18.8688,0
AlwaysLong,95,121.2291,0,-1.1568,17.7120,0
AlwaysLong,96,119.8267,0,0.5979,18.3099,0
AlwaysLong,97,120.5432,0,0.5626,18.8725,0
AlwaysLong,98,121.2214,0,0.3056,19.1781,0
AlwaysLong,99,121.5918,0,0.0654,19.2436,0
AlwaysLong,100,121.6714,0,-1.1092,18.1344,0
AlwaysLong,101,120.3218,0,-0.1206,18.0138,0
AlwaysLong,102,120.1767,0,-0.0427,17.9711,0
AlwaysLong,103,120.1254,0,-0.5010,17.4701,0
AlwaysLong,104,119.5236,0,0.1388,17.6089,0
AlwaysLong,105,119.6895,0,0.7065,18.3154,0
AlwaysLong,106,120.5351,0,2.2103,20.5257,0
AlwaysLong,107,123.1993,0,0.4757,21.0014,0
AlwaysLong,108,123.7853,0,0.5591,21.5605,0
AlwaysLong,109,124.4774,0,0.2258,21.7863,0
AlwaysLong,110,124.7585,0,-1.6057,20.1806,0
AlwaysLong,111,122.7552,0,0.2739,20.4544,0
AlwaysLong,112,123.0914,0,0.3609,20.8153,0
AlwaysLong,113,123.5356,0,2.8018,23.6171,0
AlwaysLong,114,126.9968,0,0.1077,23.7248,0
AlwaysLong,115,127.1336,0,0.6034,24.3281,0
AlwaysLong,116,127.9006,0,0.2656,24.5938,0
AlwaysLong,117,128.2404,0,-0.8649,23.7289,0
AlwaysLong,118,127.1312,0,1.4533,25.1822,0
AlwaysLong,119,128.9788,0,1.0575,26.2396,0
AlwaysLong,120,130.3427,0,1.0970,27.3366,0
AlwaysLong,121,131.7726,0,-0.6075,26.7291,0
AlwaysLong,122,130.9720,0,1.7174,28.4465,0
AlwaysLong,123,133.2213,0,-1.0958,27.3507,0
AlwaysLong,124,131.7615,0,0.8908,28.2415,0
AlwaysLong,125,132.9352,0,2.5217,30.7632,0
AlwaysLong,126,136.2875,0,-0.6882,30.0750,0
AlwaysLong,127,135.3496,0,-0.2659,29.8091,0
AlwaysLong,128,134.9896,0,0.4005,30.2096,0
AlwaysLong,129,135.5302,0,-0.2033,30.0063,0
AlwaysLong,130,135.2547,0,-1.2429,28.7634,0
AlwaysLong,131,133.5737,0,0.3692,29.1327,0
AlwaysLong,132,134.0669,0,-0.7594,28.3733,0
AlwaysLong,133,133.0488,0,0.7766,29.1498,0
AlwaysLong,134,134.0820,0,-0.6175,28.5323,0
AlwaysLong,135,133.2540,0,1.8672,30.3995,0
AlwaysLong,136,135.7421,0,-0.4821,29.9174,0
AlwaysLong,137,135.0877,0,-0.0221,29.8953,0
AlwaysLong,138,135.0579,0,1.1197,31.0151,0
AlwaysLong,139,136.5702,0,-0.9265,30.0885,0
AlwaysLong,140,135.3048,0,0.5289,30.6174,0
AlwaysLong,141,136.0204,0,1.6201,32.2375,0
AlwaysLong,142,138.2241,0,-1.2990,30.9385,0
AlwaysLong,143,136.4286,0,0.4858,31.4244,0
AlwaysLong,144,137.0914,0,0.5615,31.9858,0
AlwaysLong,145,137.8611,0,1.0877,33.0735,0
AlwaysLong,146,139.3606,0,-0.9326,32.1409,0
AlwaysLong,147,138.0609,0,-1.0153,31.1257,0
AlwaysLong,148,136.6593,0,0.8253,31.9510,0
AlwaysLong,149,137.7871,0,0.5988,32.5498,0
AlwaysLong,150,138.6122,0,0.5520,33.1018,0
AlwaysLong,151,139.3773,0,0.6485,33.7503,0
AlwaysLong,152,140.2812,0,-0.3793,33.3710,0
AlwaysLong,153,139.7492,0,0.5337,33.9047,0
AlwaysLong,154,140.4950,0,0.5948,34.4995,0
AlwaysLong,155,141.3307,0,-0.4135,34.0860,0
AlwaysLong,156,140.7463,0,2.1894,36.2754,0
AlwaysLong,157,143.8278,0,0.7768,37.0523,0
AlwaysLong,158,144.9451,0,-0.8873,36.1649,0
AlwaysLong,159,143.6589,0,0.9611,37.1261,0
AlwaysLong,160,145.0397,0,-0.6724,36.4536,0
AlwaysLong,161,144.0644,0,1.0930,37.5467,0
AlwaysLong,162,145.6391,0,1.4693,39.0159,0
